,cc,coh,coh_freq,exp_n,musician,riot_type,factor1,factor2
275,0.09824929564321461,0.8160578337488354,1.46484375,23,Clarinet,leg,same,No
276,0.10215719372199887,0.9291434966644236,1.26953125,24,Sax,head,same,Yes
277,0.2028669151314191,0.9821469172129399,1.3671875,24,Sax,leg,same,Yes
278,0.1061280042264111,0.8088041687602141,2.63671875,24,Accordion,head,same,Yes
279,0.060486686286988854,0.7301832782530268,4.00390625,24,Accordion,leg,same,Yes
280,0.10444563169182627,0.8472791852171776,2.63671875,24,Cello,head,same,Yes
281,0.2069189109536644,0.9791699545685273,1.3671875,24,Cello,leg,same,Yes
282,0.13296813568156562,0.9553636791481169,1.26953125,24,Piano,head,same,Yes
283,0.1373127680852765,0.943312056094093,1.3671875,24,Piano,leg,same,Yes
284,0.03144766029019729,0.7550414787404072,7.03125,24,Drum,head,same,Yes
285,0.014719654047653557,0.9700631934880588,0.0,24,Drum,leg,same,Yes
286,0.032293633570051467,0.6282394699230789,29.296875,24,Clarinet,head,same,Yes
287,0.1324039466803803,0.9456462679796865,1.3671875,24,Clarinet,leg,same,Yes
288,0.05493416835829697,0.5305559570963579,27.734375,25,Sax,head,low,No
289,0.1925783522944303,0.9098365187806549,2.1484375,25,Sax,leg,low,No
290,0.1554574077657845,0.952388381801805,2.734375,25,Accordion,head,low,No
291,0.15772701170514455,0.902456172991659,1.3671875,25,Accordion,leg,low,No
292,0.07829334655973066,0.9661855695636073,1.3671875,25,Cello,head,low,No
293,0.2267380685334641,0.9675308598722218,0.68359375,25,Cello,leg,low,No
294,0.03139296889176378,0.6801914996625382,1.46484375,25,Piano,head,low,No
295,0.1621196537375631,0.9149721679603591,4.1015625,25,Piano,leg,low,No
296,0.030561380413550204,0.6126894399176955,2.63671875,25,Drum,head,low,No
297,0.023807462631245224,0.7672607762814774,0.0,25,Drum,leg,low,No
298,0.04066332182062194,0.6541223816679241,46.19140625,25,Clarinet,head,low,No
299,0.06410593843663091,0.812372784916073,3.125,25,Clarinet,leg,low,No
300,0.025773293148960326,0.6919385760141665,32.32421875,26,Sax,head,high,No
301,0.030056054662679778,0.6920384747478989,40.8203125,26,Sax,leg,high,No
302,0.09082027309937586,0.8291789598951033,3.02734375,26,Accordion,head,high,No
303,0.13651450558913117,0.8457252208200863,3.02734375,26,Accordion,leg,high,No
304,0.05207813650797235,0.7542852163080654,28.22265625,26,Cello,head,high,No
305,0.10631498632434713,0.8016683671193798,1.3671875,26,Cello,leg,high,No
306,0.04878127244617451,0.7233335743847287,14.6484375,26,Piano,head,high,No
307,0.0721702240680761,0.7067208912925831,0.78125,26,Piano,leg,high,No
308,0.07340050851926073,0.7069506566934757,46.19140625,26,Drum,head,high,No
309,0.07574640012567352,0.8185829162662451,1.171875,26,Drum,leg,high,No
310,0.029463862702398258,0.7233532336282276,37.109375,26,Clarinet,head,high,No
311,0.07080430870620648,0.7080911176696092,7.71484375,26,Clarinet,leg,high,No
312,0.05805766837534332,0.7080977847079477,1.46484375,27,Sax,head,high,Yes
313,0.12380009478573371,0.8445662382431207,1.46484375,27,Sax,leg,high,Yes
314,0.14911202206342902,0.8975425974350953,3.02734375,27,Accordion,head,high,Yes
315,0.06113933866680776,0.8582303633815946,3.02734375,27,Accordion,leg,high,Yes
316,0.024701511226985145,0.7021665382079183,10.83984375,27,Cello,head,high,Yes
317,0.026422165897386333,0.6126156261209894,5.76171875,27,Cello,leg,high,Yes
318,0.03664945588819924,0.6394483372079627,7.51953125,27,Piano,head,high,Yes
319,0.04222433851680565,0.689192671762438,19.53125,27,Piano,leg,high,Yes
320,0.1041550711786179,0.8938299349743987,2.34375,27,Drum,head,high,Yes
321,0.01897817150723186,0.7677874682845561,2.34375,27,Drum,leg,high,Yes
322,0.03507852647959859,0.704325367640323,47.55859375,27,Clarinet,head,high,Yes
323,0.04569592992608826,0.6659934336911111,2.5390625,27,Clarinet,leg,high,Yes
324,0.041673728210662515,0.7181814460140443,31.25,28,Sax,head,same,No
325,0.18027595620168382,0.9321133800076071,5.2734375,28,Sax,leg,same,No
326,0.14704755860776741,0.7689738991251732,2.63671875,28,Accordion,head,same,No
327,0.2149483043050389,0.9883063165238973,1.3671875,28,Accordion,leg,same,No
328,0.13350849956766628,0.9396390555880618,1.26953125,28,Cello,head,same,No
329,0.013868941992243148,0.6637720342753745,26.171875,28,Cello,leg,same,No
330,0.06678014349952269,0.7654345066026051,19.3359375,28,Piano,head,same,No
331,0.029969545999985796,0.6261369300485095,1.3671875,28,Piano,leg,same,No
332,0.16103189684240624,0.877324746512977,1.3671875,28,Drum,head,same,No
333,0.17032861926458379,0.9876963866177801,2.63671875,28,Drum,leg,same,No
334,0.0361184878623164,0.8065578387074638,48.2421875,28,Clarinet,head,same,No
335,0.13869757130572705,0.9434643225696153,1.26953125,28,Clarinet,leg,same,No
336,0.06436630948908421,0.6800025988513098,4.00390625,29,Sax,head,same,Yes
337,0.18328758829955058,0.9772419931142149,1.3671875,29,Sax,leg,same,Yes
